,1,2,3,4,5,6,7
엑소시스트: 믿는 자,53.58088,66.63497,70.99131,70.3160259269929,62.709789849219156,44.24561,34.69037
챌린저스,67.18599,90.35105,94.29423,67.69337879196793,75.4575674610095,90.91227,100.0
샤잠! 신들의 분노,68.00399,78.27349,80.58376,70.3160259269929,62.035783559921484,41.68655,34.88707
보 이즈 어프레이드,53.77685,61.11548,55.07383,70.3160259269929,47.4581205055846,45.19369,36.11613
쏘우 X,71.83176,85.44549,91.51317,70.3160259269929,68.69307514994075,54.38662,49.37869
익스펜더블 4,84.50743,99.00015,93.993,70.3160259269929,61.06347198316805,41.72298,35.5669
본즈 앤 올,100.0,91.68885,79.10785,63.15965457788876,73.55069306226248,61.27907,57.37917
신체모음.zip,67.70229,59.46383,66.2315,68.95226769894666,79.75650699314565,58.98152,45.69159
시맨틱 에러: 더 무비,52.55693,65.44388,69.08495,56.23939038064228,79.75650699314565,63.23469,76.80349
수라,48.13091,98.13091,75.55691,70.3160259269929,67.76990953279649,62.96155,56.26335
티켓 투 파라다이스,74.09346,71.76841,78.74098,70.3160259269929,61.35399303554128,51.93882,41.02702
슬픔의 삼각형,77.3485,81.58278,84.36232,70.3160259269929,68.29555276778552,64.19561,51.30578
더 웨일,100.0,79.33076,79.01144,63.77183996281435,63.552648639472025,51.59326,51.78286
애스터로이드 시티,100.0,92.13076,93.75929,69.82969919687405,71.36681633907756,67.94804,62.66436
바람 따라 만나리 : 김호중의 계절,58.84987,98.4235,91.54424,70.3160259269929,69.99769221308114,71.7843,59.6202
류이치 사카모토: 오퍼스,76.26968,100.0,85.00507,67.14662246916741,63.93886952458634,68.10563,38.73793
사운드 오브 프리덤,63.54038,64.75101,71.26517,70.3160259269929,62.755442473822036,51.25461,46.19743
인생은 뷰티풀: 비타돌체,42.80733,84.38742,98.66118,61.09810823495341,78.86667162027382,100.0,46.05676
엔니오: 더 마에스트로,80.12213,84.94419,93.89345,70.3160259269929,72.01429561414932,75.36323,70.43588
고스트버스터즈: 오싹한 뉴욕,49.26744,62.91063,92.04092,70.3160259269929,48.3157502009326,27.07303,23.42658
사랑할 땐 누구나 최악이 된다,80.29593,91.74474,70.3160259269929,65.1074379380978,71.00662,80.78153,74.77719
악은 존재하지 않는다,87.74213,77.94498,81.44287,70.3160259269929,64.17339353339968,69.71884,56.91189
랜드 오브 배드,58.20297,72.54139,86.93986,70.3160259269929,59.82250858825889,50.1873,53.7619
더 와일드: 야수들의 전쟁,66.65169,76.53398,76.14266,70.3160259269929,58.751251088929756,45.65865,48.22786
애프터 양,77.78618,57.33974,72.3165,61.86761166468545,79.75650699314565,86.02853,50.57831
지오디 마스터피스 더 무비,76.17915,91.73674,78.95795,70.3160259269929,69.0542604675099,62.44972,56.83729
너와 나,82.90574,86.4316,100.0,66.29328124172261,70.608962033978,88.92852,76.78693
오토라는 남자,81.20409,85.07683,88.31389,70.3160259269929,60.18532093857072,55.70573,52.58902
씬,67.98013,65.36023,68.74427,70.3160259269929,61.8296847702005,65.52574,59.79294
TAR 타르,100.0,93.1536,89.41078,69.33235394549243,66.87014447480402,63.81322,69.29775
플레인,81.73211,80.82175,83.15227,70.3160259269929,53.133888642292725,44.50446,39.26685
롱디,70.8271,61.55484,63.46383,70.3160259269929,64.02449611049417,55.42065,47.3812
골드핑거,100.0,75.37542,85.9123,65.42487128992165,50.97590088127778,44.7642,35.94495
슈가│어거스트 디 투어 ‘디-데이’ 더 무비,100.0,65.66339,74.20147,65.08982948958472,62.364882834727304,51.07493,48.09582
메이 디셈버,95.54231,100.0,90.56725,69.32858500650273,65.18163541655353,58.38876,52.77161
썸머 필름을 타고!,59.09422,90.6501,85.40297,70.3160259269929,75.98908875056392,80.61845,50.8522
네가 떨어뜨린 푸른 하늘,80.06823,85.34741,84.38106,70.3160259269929,65.69111998322575,63.00488,58.9985
바튼 아카데미,87.42448,81.83359,90.59353,70.3160259269929,67.37247488279895,71.48913,60.04769
어른 김장하,81.80174,100.0,91.24736,62.53019957699551,54.39254203045295,56.94486,50.27116
양자경의 더 모든 날 모든 순간,62.79298,63.72725,71.91444,70.3160259269929,70.68405278531205,58.42484,78.42157
괴담만찬,64.57191,71.54537,69.13955,70.3160259269929,60.425108876845606,45.91181,38.50171
이니셰린의 밴시,55.86905,58.54855,93.82747,70.3160259269929,63.18519446045321,63.51368,50.80707
리빙: 어떤 인생,86.84503,86.67781,92.97658,68.37586613961531,67.77524524311433,89.6321,100.0
마이 샤이니 월드,60.45152,70.3160259269929,71.49307886529841,58.49627,48.13545,44.95061,43.13646
나의 올드 오크,86.63778,79.97334,100.0,67.3481130414612,61.76411694580143,58.98033,53.80428
라이스보이 슬립스,71.7661,62.07249,88.94702,70.3160259269929,59.217204554085114,53.87312,52.57848
3000년의 기다림,64.70301,75.72216,93.08666,70.3160259269929,60.35128625397275,49.55371,46.25121
플로라 앤 썬,76.13874,70.3160259269929,46.11053063647631,62.12041,50.1178,37.52617,40.3534
큐어,54.60475,71.48724,93.53498,70.3160259269929,71.15885922274364,67.29319,50.22709
고속도로 가족,83.73628,89.63069,83.18594,70.3160259269929,60.37058732866509,50.6661,49.56541
천룡팔부: 교봉전,58.47371,59.4053,71.79045,70.3160259269929,65.26272385721346,51.01454,42.89816
스트리머,94.93113,79.62844,80.46124,70.3160259269929,67.92203709423521,52.49039,42.97725
닥터 스트레인지: 대혼돈의 멀티버스,83.58403,100.0,65.18006,38.38286763936798,35.8420398741228,29.39095,23.51463
