,1,2,3,4,5,6,7,8,9,10,11,12,13,14
수라,48.13091,98.13091,75.55691,70.3160259269929,67.76990953279649,62.96155,56.26335,29.87488,19.48428,19.70552,19.789116524262134,17.286249861379005,16.47848,16.91333
티켓 투 파라다이스,74.09346,71.76841,78.74098,70.3160259269929,61.35399303554128,51.93882,41.02702,22.40613,18.14355,20.9023,16.996599933802724,15.43059509142298,14.80226,12.80827
슬픔의 삼각형,77.3485,81.58278,84.36232,70.3160259269929,68.29555276778552,64.19561,51.30578,43.16049,32.56211,48.8717,39.46138890824138,49.47370302336328,48.34241,36.34001
더 웨일,100.0,79.33076,79.01144,63.77183996281435,63.552648639472025,51.59326,51.78286,41.96048,35.57078,34.08728,31.752600796249595,36.04482079315287,73.91232,53.21647
애스터로이드 시티,100.0,92.13076,93.75929,69.82969919687405,71.36681633907756,67.94804,62.66436,42.86058,34.18311,39.314,28.939017524422457,27.06762775727188,27.11407,25.91177
바람 따라 만나리 : 김호중의 계절,58.84987,98.4235,91.54424,70.3160259269929,69.99769221308114,71.7843,59.6202,57.88247,45.64672,61.01755,42.161896978775324,54.2092775286841,36.81476,31.26119
류이치 사카모토: 오퍼스,76.26968,100.0,85.00507,67.14662246916741,63.93886952458634,68.10563,38.73793,32.24987,31.14525,37.79837,32.854614649385205,30.00488444551405,24.41594,23.46368
사운드 오브 프리덤,63.54038,64.75101,71.26517,70.3160259269929,62.755442473822036,51.25461,46.19743,35.05894,40.14077,49.35421,31.521570461463867,27.178680717609137,23.3257,23.79025
인생은 뷰티풀: 비타돌체,42.80733,84.38742,98.66118,61.09810823495341,78.86667162027382,100.0,46.05676,39.51607,35.54842,39.87866,31.085948617640963,26.338940406779702,33.09392,21.04455
엔니오: 더 마에스트로,80.12213,84.94419,93.89345,70.3160259269929,72.01429561414932,75.36323,70.43588,60.77068,53.42177,67.63529,54.14733391405719,54.850440088401996,52.34786,67.69846
고스트버스터즈: 오싹한 뉴욕,49.26744,62.91063,92.04092,70.3160259269929,48.3157502009326,27.07303,23.42658,12.62871,9.31533,9.60705,8.72387026227386,8.120624102076006,8.63176,10.32981
사랑할 땐 누구나 최악이 된다,80.29593,91.74474,70.3160259269929,65.1074379380978,71.00662,80.78153,74.77719,57.97531,64.84232,47.77584410955533,50.494833558047226,44.81261,43.6643,37.1058
악은 존재하지 않는다,87.74213,77.94498,81.44287,70.3160259269929,64.17339353339968,69.71884,56.91189,47.70959,38.54796,43.57618,32.875393035046635,31.8474511726725,33.46382,35.15684
랜드 오브 배드,58.20297,72.54139,86.93986,70.3160259269929,59.82250858825889,50.1873,53.7619,43.74159,38.60848,50.47899,44.55352081061717,37.57808381054121,28.95707,27.81892
더 와일드: 야수들의 전쟁,66.65169,76.53398,76.14266,70.3160259269929,58.751251088929756,45.65865,48.22786,32.14228,29.68855,34.58639,30.13640100352285,29.301440029485203,28.19386,34.98091
애프터 양,77.78618,57.33974,72.3165,61.86761166468545,79.75650699314565,86.02853,50.57831,38.5688,33.93687,30.33726,28.997471236775564,32.01985283818888,31.34796,29.19684
지오디 마스터피스 더 무비,76.17915,91.73674,78.95795,70.3160259269929,69.0542604675099,62.44972,56.83729,41.02376,38.64716,39.23217,42.53669546017138,36.116426185131324,33.05301,28.75685
너와 나,82.90574,86.4316,100.0,66.29328124172261,70.608962033978,88.92852,76.78693,64.98833,51.173,47.94896,40.024852318802154,44.654447990905254,49.58156,73.80985
오토라는 남자,81.20409,85.07683,88.31389,70.3160259269929,60.18532093857072,55.70573,52.58902,53.78633,55.45269,64.97562,49.12530708953062,38.35232807782786,31.71017,26.59384
씬,67.98013,65.36023,68.74427,70.3160259269929,61.8296847702005,65.52574,59.79294,54.37002,30.55849,30.7416,22.950883661671963,26.582692243452158,23.51574,17.95548
TAR 타르,100.0,93.1536,89.41078,69.33235394549243,66.87014447480402,63.81322,69.29775,38.1045,24.67111,35.48267,24.650344660698863,20.526549373592328,20.08523,18.82527
플레인,81.73211,80.82175,83.15227,70.3160259269929,53.133888642292725,44.50446,39.26685,30.86726,29.87194,30.72161,18.393034019097247,17.23692843745444,12.82393,10.42058
롱디,70.8271,61.55484,63.46383,70.3160259269929,64.02449611049417,55.42065,47.3812,35.93843,31.33218,33.91736,25.90355203278269,24.956680384081498,26.07964,18.39883
